"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Daniel Murphy","Rockies","147","616","561","175","40","3","22","84","91","44","73","5","4","1",".311",".363",".510",".873",".369","-1.3","-0.5","2.0","64.1","4316"
"Jose Altuve","Astros","153","644","575","176","33","3","17","90","77","54","80","8","21","6",".306",".370",".464",".835",".359","-2.4","1.0","4.8","15.3","5417"
"Javier Baez","Cubs","152","637","592","161","31","5","31","86","99","33","165","6","18","7",".272",".316",".501",".817",".342","0.2","2.0","3.9","18.4","12979"
"Gleyber Torres","Yankees","150","630","560","146","25","3","27","75","90","57","148","6","11","5",".261",".332",".459",".791",".339","-6.1","-0.3","2.8","68.1","16997"
"Asdrubal Cabrera","Rangers","147","616","558","154","35","2","20","75","78","47","112","5","2","1",".275",".334",".452",".787",".338","-5.8","-1.4","2.1","222.4","4962"
"Robinson Cano","Mets","142","595","541","149","29","1","20","71","78","45","82","5","1","1",".275",".334",".446",".779",".333","-0.6","-1.8","2.9","122.0","3269"
"Brian Dozier","Nationals","133","560","493","121","27","3","22","73","73","57","115","5","10","4",".246",".328",".446",".774",".333","-2.1","1.3","2.4","143.2","9810"
"Ketel Marte","Diamondbacks","118","497","447","125","25","7","10","61","49","42","69","2","8","3",".279",".341",".431",".772",".332","-0.4","0.5","2.2","226.9","13613"
"Ozzie Albies","Braves","155","651","599","163","34","6","20","88","76","40","110","5","16","4",".272",".322",".452",".773",".332","8.5","2.5","4.0","62.8","16556"
"Garrett Hampson","Rockies","66","278","249","71","12","3","4","34","25","23","46","1","15","4",".286",".347",".413",".760",".331","1.0","1.4","1.0","173.0","19262"
"Scooter Gennett","Reds","73","308","284","77","15","1","10","37","42","19","63","2","2","1",".270",".319",".441",".761",".326","-2.3","-0.2","0.9","107.7","10339"
"Jonathan Schoop","Twins","117","490","457","120","26","1","21","60","72","22","110","6","1","1",".263",".304",".461",".764",".326","-1.0","-0.7","1.9","188.9","11265"
"Jeff McNeil","Mets","127","535","487","134","24","6","12","64","56","33","70","8","9","3",".275",".330",".424",".754",".325","-1.6","1.6","1.9","313.1","15362"
"Jean Segura","Phillies","152","637","590","169","30","3","14","83","62","33","83","7","21","9",".287",".330",".419",".749",".324","-5.1","0.8","2.5","61.6","5933"
"Brandon Lowe","Rays","58","245","217","53","12","1","8","29","29","23","61","2","3","2",".246",".322",".426",".748",".324","-0.6","0.0","0.9","491.7","18882"
"Ben Zobrist","Cubs","100","418","367","97","20","3","8","48","43","44","55","2","3","2",".264",".343",".396",".739",".323","-0.7","-0.7","1.2","536.0","7435"
"Rougned Odor","Rangers","152","637","580","144","29","3","27","82","84","41","146","9","15","9",".249",".307",".449",".756",".323","-1.8","0.4","1.9","126.0","12282"
"Adam Frazier","Pirates","145","610","547","150","31","5","10","74","57","48","87","6","9","7",".273",".337",".402",".740",".322","-0.8","-0.1","2.3","390.5","15223"
"Whit Merrifield","Royals","152","637","581","161","35","3","12","78","58","43","104","5","31","9",".278",".330",".411",".741",".321","2.9","3.4","3.1","30.6","11281"
"Kolten Wong","Cardinals","117","490","428","111","23","3","11","53","52","41","76","13","9","4",".259",".339",".401",".740",".321","2.6","0.8","2.3","572.1","12532"
"Cesar Hernandez","Phillies","153","644","555","144","20","5","10","79","50","78","131","4","17","6",".259",".352",".370",".722",".320","-2.3","0.9","2.2","185.4","10556"
"Joe Panik","Giants","133","560","501","138","27","4","9","62","52","46","53","5","5","2",".276",".340",".398",".737",".320","-0.4","0.0","2.2","585.8","11936"
"Howie Kendrick","Nationals","40","166","152","42","8","1","3","19","17","11","32","2","3","1",".279",".332",".404",".737",".319","-0.9","-0.2","0.3","600.5","4229"
"Brock Holt","Red Sox","60","252","221","58","12","1","4","27","27","25","51","4","5","3",".263",".345",".380",".725",".319","-1.5","-0.4","0.6","587.6","9345"
"Jason Kipnis","Indians","147","616","546","136","33","2","17","74","69","56","122","6","8","3",".250",".324",".410",".733",".319","-0.7","1.1","2.1","502.5","9776"
"Logan Forsythe","Rangers","27","112","97","24","5","0","2","13","10","13","24","1","1","0",".251",".344",".371",".715",".317","0.0","0.0","0.3","999.0","7185"
"DJ LeMahieu","Yankees","122","511","460","125","21","2","10","65","50","41","78","3","7","4",".271",".332",".390",".723",".316","4.6","-0.6","1.9","305.2","9874"
"Adalberto Mondesi","Royals","155","651","604","155","30","7","24","83","78","30","164","4","50","12",".257",".294",".449",".743",".316","2.7","6.0","3.6","38.4","13769"
"Yoan Moncada","White Sox","152","637","557","131","25","5","20","76","63","70","198","3","17","7",".235",".322",".403",".725",".316","-1.9","1.4","2.3","154.3","17232"
"Dustin Pedroia","Red Sox","132","553","494","134","23","1","10","62","58","51","67","2","5","3",".272",".340",".380",".719",".315","4.0","-1.9","1.8","579.3","8370"
