"","person.key","Team","Name","fanpoints","G","pred_points_sum","pred_games_count","pred_games_above_count","fanpos","position"
"193","hernt002","Blue Jays","Teoscar Hernandez",357.5,108,333.335272266766,86.8300844345132,39.4200197443791,"OF","OF"
"194","herrc001","Athletics","Chris Herrmann",67,23,201.926264321271,43.6543380453529,23.3982912726159,"C","C"
"195","herro001","Phillies","Odubel Herrera",344.5,108,345.366315464354,94.9687884070193,41.3256027638278,"OF","OF"
"196","herrr002","Marlins","Rosell Herrera",72.5,29,NA,NA,NA,"OF","OF"
"197","heywj001","Cubs","Jason Heyward",387,125,346.70325937966,96.6318504001705,39.6988449739577,"OF","OF"
"198","hicka001","Yankees","Aaron Hicks",512,142,296.828610196386,95.040675528127,36.0446254927627,"OF","OF"
"199","hickj001","Tigers","John Hicks",228,79,262.447648167533,65.5920534461428,31.5944805380193,"C","1B"
"200","higak001","Yankees","Kyle Higashioka",20,8,215.994579930987,49.9248515408916,25.1560771416701,"C","C"
"201","holtb002","Red Sox","Brock Holt",178.5,60,241.348107068034,60.554834754414,28.5382941653055,"2B","2B"
"202","hoskr001","Phillies","Rhys Hoskins",598,155,357.887035989952,94.8395095995636,42.5667581695003,"OF","OF"
"203","hosme001","Padres","Eric Hosmer",514,155,351.04133957627,90.5182169667427,40.9405451651028,"1B","1B"
"204","hundn001","Athletics","Nick Hundley",89,30,240.872889426277,58.7948459647394,28.432875547506,"C","C"
"205","iannc001","Rockies","Chris Iannetta",237.5,76,251.794610173569,56.1551928591197,29.8356081654728,"C","C"
"206","iglej001","Reds","Jose Iglesias",141.5,52,325.503186634762,83.4673715259461,38.0462164909811,"SS","SS"
"207","incie001","Braves","Ender Inciarte",467,153,360.4609775435,105.668489920982,42.5680420341537,"OF","OF"
"208","jankt001","Padres","Travis Jankowski",68,24,307.301704851054,87.8847473671391,35.9773730908334,"OF","OF"
"209","jansd001","Blue Jays","Danny Jansen",332,107,NA,NA,NA,"C","C"
"210","jay-j001","White Sox","Jon Jay",150,57,304.917185123955,86.7651095840447,36.7007985044394,"OF","OF"
"211","jonea003","Diamondbacks","Adam Jones",327,108,325.309319654904,80.5575259906769,37.4560189245147,"OF","OF"
"212","jonej006","Tigers","JaCoby Jones",374.5,133,306.561262811842,80.4507521018651,35.8009603925544,"OF","OF"
"213","joner005","Giants","Ryder Jones",4.5,2,245.870500299876,67.7592845947394,28.7837913825932,"1B","1B"
"214","josec002","Diamondbacks","Caleb Joseph",20.5,8,224.82468668234,53.1544128548014,26.4315861982552,"C","C"
"215","judga001","Yankees","Aaron Judge",597.5,147,396.188739733283,100.010445433335,46.6490327950261,"OF","OF"
"216","kangj001","Pirates","Jung Ho Kang",418.5,127,NA,NA,NA,"3B","3B"
"217","kellc002","Diamondbacks","Carson Kelly",153,53,261.407933208571,56.8359253595462,29.6430037854728,"C","C"
"218","kempm001","Reds","Matt Kemp",151.5,45,327.832731136217,81.397679811415,37.7556107324651,"OF","OF"
"219","kempt001","Astros","Tony Kemp",214,72,231.580026522686,68.6720918519693,27.2578408523013,"OF","OF"
"220","kendh001","Nationals","Howie Kendrick",120.5,40,258.621071421365,58.3712727592017,30.2020840653684,"2B","2B"
"221","keplm001","Twins","Max Kepler",497.5,147,358.412369203871,98.9910337309201,41.1234959635014,"OF","OF"
"222","kiebs001","Nationals","Spencer Kieboom",7.5,3,NA,NA,NA,"C","C"
"223","kierk001","Rays","Kevin Kiermaier",450,145,338.843978977841,97.4951470383497,38.5540422650655,"OF","OF"
"224","kinei001","Rangers","Isiah Kiner-Falefa",124,45,NA,NA,NA,"C","3B"
"225","kings001","Phillies","Scott Kingery",235.5,81,NA,NA,NA,"SS","SS"
"226","kinsi001","Padres","Ian Kinsler",277,90,278.377029230228,76.5086726143451,33.3007511596397,"2B","2B"
"227","kipnj001","Indians","Jason Kipnis",467.5,147,296.018508249103,83.3294342052845,33.5104469649566,"2B","2B"
"228","knapa001","Phillies","Andrew Knapp",64.5,23,257.118518723317,58.653226558368,29.8363576659196,"C","C"
"229","kramk001","Pirates","Kevin Kramer",53,19,NA,NA,NA,"2B","3B"
"230","krate001","Giants","Erik Kratz",49,18,169.697509617782,35.9801043222002,20.9848385444972,"C","C"
"231","lagaj001","Mets","Juan Lagares",100.5,38,199.32250330538,43.597990095522,23.5938662208949,"OF","OF"
"232","lambj001","Diamondbacks","Jake Lamb",487,142,314.622646524169,75.6592534234249,37.1997700668879,"3B","3B"
"233","lastt001","Angels","Tommy La Stella",127,47,178.18463805748,37.9847493804107,21.5533876894174,"2B","3B"
"234","laurr001","Athletics","Ramon Laureano",400.5,125,NA,NA,NA,"OF","OF"
"235","lemad001","Yankees","DJ LeMahieu",379,122,345.169955172859,93.855669603814,39.2116725389175,"2B","2B"
"236","leons001","Red Sox","Sandy Leon",124.5,46,269.552074219501,54.0640272377853,31.4439147273129,"C","C"
"237","lin-t001","Red Sox","Tzu-Wei Lin",9.5,3,231.947413085773,49.7669209221241,26.5820743071175,"SS","SS"
"238","lindf001","Indians","Francisco Lindor",565,145,426.915029425554,127.956778730056,48.8578991439731,"SS","SS"
"239","lobaj001","Mariners","Jose Lobaton",12,5,167.976552780115,31.2787031438459,19.5429171096952,"C","C"
"240","locat001","Diamondbacks","Tim Locastro",8.5,3,149.729310056464,36.477333211244,17.1173946634157,"OF","OF"
"241","longe001","Giants","Evan Longoria",454,150,304.141273895778,76.8210729163196,35.7861847353812,"3B","3B"
"242","loweb001","Rays","Brandon Lowe",187.5,58,NA,NA,NA,"2B","2B"
"243","lowrj001","Mets","Jed Lowrie",385.5,127,316.726379257295,85.7553956659695,37.6261709853737,"2B","2B"
"244","lucrj001","Angels","Jonathan Lucroy",254,91,280.454199710993,73.0494896893922,31.5692846127309,"C","C"
"245","lugod001","Tigers","Dawel Lugo",6.5,3,NA,NA,NA,"2B","2B"
"246","luplj001","Indians","Jordan Luplow",241,75,250.026327149203,62.7298339828593,29.2084299902645,"OF","OF"
"247","machm001","Padres","Manny Machado",574.5,153,397.22591471103,109.128565199529,45.7143768048902,"3B","SS"
"248","mahtm001","Tigers","Mikie Mahtook",241.5,80,256.538452093988,66.6596252063179,30.3980021931336,"OF","OF"
"249","maill001","Blue Jays","Luke Maile",58.5,23,280.586713712909,62.5875726565087,32.892028713721,"C","C"
"250","maldm001","Royals","Martin Maldonado",271.5,107,282.129520800139,61.6713285226588,33.0703355605401,"C","C"
"251","manct001","Orioles","Trey Mancini",480.5,148,382.165250323639,89.7634585551195,44.9306054408406,"1B","OF"
"252","margm001","Padres","Manuel Margot",316.5,107,363.225487260696,89.5926927308816,41.3452151053272,"OF","OF"
"253","marij002","Astros","Jake Marisnick",156,50,253.496766788602,64.7233121035619,29.6229120598432,"OF","OF"
"254","markn001","Braves","Nick Markakis",451.5,150,352.055008456095,96.8620948130644,39.3984485725321,"OF","OF"
"255","martj006","Red Sox","J.D. Martinez",647.5,155,385.647266154885,105.353933969845,43.749416121265,"OF","OF"
