"","person.key","Team","Name","fanpoints","G","pred_points_sum","pred_games_count","pred_games_above_count","position","points_sum_lag1","games_count_lag1","games_above_count_lag1","points_sd_lag1"
"50","blact002","Giants","Ty Blach",125.5,30,263.325168552345,31.9713850137322,9.1685517045392,"R",279.333333333333,47,8,5.95791161938694
"51","bleir001","Orioles","Richard Bleier",275.5,65,78.8508479964107,30.3241407891604,0.899981425110113,"R",156.333333333333,31,1,3.44506295753242
"52","blevj001","Athletics","Jerry Blevins",80.5,25,43.6166352571727,33.0844668635716,-0.950374586908836,"R",191.333333333333,64,0,3.880475593136
"53","borur001","Blue Jays","Ryan Borucki",162.5,16,NA,NA,NA,"S",NA,NA,NA,NA
"54","boxbb001","Royals","Brad Boxberger",337,60,46.5997517513038,26.5226292914345,-0.394659353553089,"C",333.666666666667,60,2,4.55691840346569
"55","bracb001","Cubs","Brad Brach",197.5,45,50.9753487307058,31.4611125656659,-0.143136117996523,"R",321.333333333333,69,0,3.90678604117821
"56","bracs001","Diamondbacks","Silvino Bracho",240,50,36.2311461881166,26.7610315602047,-1.41264410587004,"R",118.5,31,2,3.33969822429972
"57","brada001","Diamondbacks","Archie Bradley",370,70,77.7636934056422,45.6920183976523,0.610839662105087,"R",432.833333333333,76,4,4.06287511388587
"58","brasr001","Red Sox","Ryan Brasier",380.5,65,NA,NA,NA,"R",NA,NA,NA,NA
"59","braus002","Pirates","Steven Brault",169,40,135.2695014939,30.9027199929633,3.82569901080117,"R",246.833333333333,45,7,5.25304411772887
"60","brebj001","Cardinals","John Brebbia",261,50,49.6074518314463,29.5016438191582,-1.59637276223371,"R",230.333333333333,45,1,3.85969562019904
"61","brewc002","Red Sox","Colten Brewer",38,10,NA,NA,NA,"R",NA,NA,NA,NA
"62","brica001","Marlins","Austin Brice",67,20,36.1423393341535,24.7522199725719,1.04411354833752,"R",106.666666666667,33,0,2.99882482594438
"63","bridp001","Athletics","Parker Bridwell",10.5,2,178.124266625768,24.2748851137144,4.33621382843098,"R",-7.66666666666667,5,0,8.01595630948395
"64","brigj002","Marlins","Jeff Brigham",32,3,NA,NA,NA,"S",NA,NA,NA,NA
"65","britz001","Yankees","Zach Britton",290,60,83.5733545000818,30.1901232810789,-0.200989896964915,"C",197.333333333333,41,2,3.93492113466628
"66","brooa001","Athletics","Aaron Brooks",12.5,2,NA,NA,NA,"C",NA,NA,NA,NA
"67","buchc001","Blue Jays","Clay Buchholz",210,19,334.672979096424,27.8383322221108,3.81644373540926,"S",257.166666666667,17,14,8.8125796709883
"68","buchr001","Athletics","Ryan Buchter",214,50,38.1737510259294,34.6233310968129,0.638203682147196,"R",219.666666666667,54,1,3.18350678155654
"69","buehw001","Dodgers","Walker Buehler",417.5,28,341.573792161279,28.9278232788536,2.1203072000841,"S",376.666666666667,24,19,8.51422036772653
"70","bumgm001","Giants","Madison Bumgarner",472,32,332.401742150547,26.3596392188973,5.12676299147136,"S",299.833333333333,21,14,7.48281982895436
"71","bumma001","White Sox","Aaron Bummer",113.5,35,39.0124713185427,22.8783331326358,-0.19104535022644,"R",115.833333333333,37,0,2.93897162641757
"72","bundd001","Orioles","Dylan Bundy",349.5,29,361.781225783947,29.5678219640531,4.10059821824149,"S",336.833333333333,31,18,12.1035975180659
"73","burdn001","Pirates","Nick Burdi",80.5,25,NA,NA,NA,"R",NA,NA,NA,NA
"74","burnc002","Brewers","Corbin Burnes",278.5,23,NA,NA,NA,"R",NA,NA,NA,NA
"75","burrr002","White Sox","Ryan Burr",58,20,NA,NA,NA,"R",NA,NA,NA,NA
"76","buttt001","Angels","Ty Buttrey",295,60,NA,NA,NA,"R",NA,NA,NA,NA
"77","cahit001","Angels","Trevor Cahill",234.5,21,349.859564293387,27.8982675277355,7.09153788404715,"S",232,21,10,10.252390352328
"78","carls002","Braves","Shane Carle",124.5,35,54.6303889907373,33.9171289731927,0.720797260790859,"R",276.5,53,3,3.99727269544797
"79","carpr001","Tigers","Ryan Carpenter",91.5,10,NA,NA,NA,"S",NA,NA,NA,NA
"80","carrc003","Indians","Carlos Carrasco",453,29,368.500136940466,33.5519751422111,6.14757683315269,"S",536,32,24,11.0041536634792
"81","carrc004","Orioles","Cody Carroll",139,40,NA,NA,NA,"R",NA,NA,NA,NA
"82","casha001","Orioles","Andrew Cashner",208,24,377.387824059379,26.286864507521,6.12634340252908,"S",221.5,28,13,9.16037743202958
"83","castd002","Rays","Diego Castillo",317,60,NA,NA,NA,"R",NA,NA,NA,NA
"84","castj007","Padres","Jose Castillo",22.5,5,NA,NA,NA,"R",NA,NA,NA,NA
"85","castl003","Reds","Luis Castillo",384,29,344.201539314822,29.7956633440912,3.19595259191305,"S",361.833333333333,31,17,9.20743297468266
"86","castm002","Orioles","Miguel Castro",207.5,55,92.4743257320279,30.8953493166512,2.80132917145279,"R",262.166666666667,63,3,4.6919408000632
"87","cecib001","Cardinals","Brett Cecil",212,50,36.0271823595946,27.5793592187748,0.710020266036676,"R",83.3333333333333,40,0,3.29421490674969
"88","cedex001","Cubs","Xavier Cedeno",37,10,41.6874273334391,30.1044122736855,-0.538185027720078,"R",196.666666666667,48,0,3.79962567108218
"89","cessl001","Yankees","Luis Cessa",103.5,23,212.433101764601,26.3600032734939,5.72725872931042,"R",120.333333333333,16,6,8.05372584584303
"90","chacj001","Brewers","Jhoulys Chacin",341.5,31,348.440382710679,32.8171784132404,3.96579183281943,"S",399.333333333333,35,22,8.01584856381069
"91","chafa001","Diamondbacks","Andrew Chafin",257.5,55,48.2723906318676,36.472573098459,-0.155652573431917,"R",261.666666666667,77,1,3.65059834919311
"92","chapa001","Yankees","Aroldis Chapman",435.5,65,33.2551286648713,30.1504342933404,-1.20469640103745,"C",384.666666666667,55,7,4.25667759557116
"93","charj001","Dodgers","JT Chargois",163,40,NA,NA,NA,"R",NA,NA,NA,NA
"94","chatt001","Cubs","Tyler Chatwood",116.5,33,399.681656997443,26.5172161901372,8.73162427186066,"S",110.833333333333,24,3,6.8578526460295
"95","chavj001","Rangers","Jesse Chavez",376,80,43.8318007173164,34.719954427151,-0.274660908026047,"R",429.666666666667,62,10,4.43979647081642
"96","chenw001","Marlins","Wei-Yin Chen",311,28,291.194802247548,26.3767953471217,1.33442608267367,"S",232.666666666667,26,12,10.9767197317038
"97","chiry001","Rays","Yonny Chirinos",261,36,NA,NA,NA,"R",NA,NA,NA,NA
"98","cimba001","Indians","Adam Cimber",274,60,NA,NA,NA,"R",NA,NA,NA,NA
"99","cingt001","Dodgers","Tony Cingrani",75,20,51.8182484815167,31.848272744822,-1.13876886024395,"R",145.333333333333,30,1,4.58193465248495
"100","cishs001","Cubs","Steve Cishek",231,50,41.3999908595583,44.8174535253992,-0.393238861890099,"R",442.166666666667,80,5,3.74780233306233
"101","claua001","Brewers","Alex Claudio",273,60,106.262651880524,33.1776526244488,1.00336923941895,"R",263.166666666667,66,2,4.07801177109385
"102","clevm001","Indians","Mike Clevinger",379,29,351.079536547796,35.0116471055902,4.54295366737042,"S",514,32,26,6.50182632186628
"103","cobba001","Orioles","Alex Cobb",305,29,378.73149671083,27.2819514574425,5.33981013291839,"S",258.166666666667,28,16,9.27085054890104
"104","coleg001","Astros","Gerrit Cole",529,32,362.247704387102,36.4865212095962,4.12088096636232,"S",593.166666666667,32,30,6.49948086912334
"105","colet001","Angels","Taylor Cole",201.5,43,141.42223317229,27.6014713545205,4.09019673446003,"R",124,18,6,6.86161055047612
"106","coloa001","White Sox","Alex Colome",296,60,86.0390814143827,41.9225831168665,0.516497315549598,"R",448,70,2,3.45961285334184
