"","game.key","person.key","game.date","team.key","opponent.key","seq","P_GS","P_CG","P_SHO","P_GF","P_W","P_L","P_SV","P_OUT","P_TBF","P_AB","P_R","P_ER","P_H","P_TB","P_2B","P_3B","P_HR","P_HR4","P_BB","P_IBB","P_SO","P_GDP","P_HP","P_SH","P_SF","P_XI","P_WP","P_BK","P_IR","P_IRS","P_GO","P_AO","P_PITCH","P_STRIKE","teamwon","teamscore","oppscore","prevruns","prevwin","prevloss","subruns","subwin","subloss","holdsest","IP","points"
"1","ANA201504100","alvaj003",2015-04-10,"ANA","KCA",3,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,7,6,0,2,4,3,0,1,1,0,0,0,0.666666666666667,2.33333333333333
"2","ANA201504100","daviw001",2015-04-10,"KCA","ANA",4,0,0,0,1,0,0,1,3,4,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,14,9,1,4,2,2,1,0,0,0,0,0,1,10.5
"3","ANA201504100","frasj002",2015-04-10,"KCA","ANA",2,0,0,0,0,0,0,0,3,4,4,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,17,13,1,4,2,2,1,0,0,0,0,1,1,10.5
"4","ANA201504100","herrk001",2015-04-10,"KCA","ANA",3,0,0,0,0,0,0,0,3,4,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,21,15,1,4,2,2,1,0,0,0,0,1,1,9.5
"5","ANA201504100","morim002",2015-04-10,"ANA","KCA",4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,2,0,2,4,3,0,1,1,0,0,0,0.333333333333333,1.16666666666667
"6","ANA201504100","pestv001",2015-04-10,"ANA","KCA",2,0,0,0,0,0,0,0,5,6,6,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,27,20,0,2,4,3,0,1,1,0,0,0,1.66666666666667,6.83333333333333
"7","ANA201504100","ramoc001",2015-04-10,"ANA","KCA",6,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,4,4,0,2,4,4,0,1,0,0,0,0,0.666666666666667,3.33333333333333
"8","ANA201504100","salaf001",2015-04-10,"ANA","KCA",5,0,0,0,0,0,0,0,1,5,2,1,1,2,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,15,7,0,2,4,3,0,1,0,0,0,0,0.333333333333333,-1.83333333333333
"9","ANA201504100","santh001",2015-04-10,"ANA","KCA",1,1,0,0,0,0,1,0,16,24,22,3,3,6,10,1,0,1,0,1,0,4,0,1,0,0,0,0,0,0,0,3,9,100,66,0,2,4,0,0,0,1,0,0,0,5.33333333333333,9.66666666666666
"10","ANA201504100","vargj001",2015-04-10,"KCA","ANA",1,1,0,0,0,1,0,0,18,23,22,2,2,5,9,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,7,7,98,57,1,4,2,0,0,0,0,0,0,0,6,13
"11","ANA201504110","alvaj003",2015-04-11,"ANA","KCA",5,0,0,0,1,0,0,0,3,5,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,13,10,0,4,6,6,0,1,0,0,0,0,1,4.5
"12","ANA201504110","daviw001",2015-04-11,"KCA","ANA",2,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,6,1,6,4,4,1,0,0,0,0,1,1,8.5
"13","ANA201504110","guthj001",2015-04-11,"KCA","ANA",1,1,0,0,0,1,0,0,21,27,26,4,4,6,10,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,8,10,94,62,1,6,4,0,0,0,0,0,0,0,7,11.5
"14","ANA201504110","hollg001",2015-04-11,"KCA","ANA",3,0,0,0,1,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,10,8,1,6,4,4,1,0,0,0,0,0,1,9.5
"15","ANA201504110","morim002",2015-04-11,"ANA","KCA",4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,12,8,0,4,6,6,0,1,0,0,0,0,1.33333333333333,4.66666666666667
"16","ANA201504110","ramoc001",2015-04-11,"ANA","KCA",3,0,0,0,0,0,0,0,1,3,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,3,0,4,6,6,0,1,0,0,0,0,0.333333333333333,1.16666666666667
"17","ANA201504110","rucid001",2015-04-11,"ANA","KCA",2,0,0,0,0,0,0,0,6,8,8,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,3,33,21,0,4,6,6,0,1,0,0,0,0,2,9
"18","ANA201504110","weavj003",2015-04-11,"ANA","KCA",1,1,0,0,0,0,1,0,13,22,18,6,6,7,14,1,0,2,0,4,0,5,1,0,0,0,0,0,0,0,0,4,2,85,48,0,4,6,0,0,0,0,0,0,0,4.33333333333333,-1.83333333333333
"19","ANA201504120","frasj002",2015-04-12,"KCA","ANA",2,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,17,9,1,9,2,2,1,0,0,0,0,1,1.33333333333333,9.66666666666667
"20","ANA201504120","pestv001",2015-04-12,"ANA","KCA",3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,0,2,9,9,0,1,0,0,0,0,1,3.5
"21","ANA201504120","salaf001",2015-04-12,"ANA","KCA",2,0,0,0,0,0,0,0,4,8,8,2,2,4,10,1,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,34,23,0,2,9,7,0,1,0,0,0,0,1.33333333333333,2.66666666666667
"22","ANA201504120","smitj002",2015-04-12,"ANA","KCA",4,0,0,0,1,0,0,0,3,4,4,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,11,0,2,9,9,0,1,0,0,0,0,1,6.5
"23","ANA201504120","venty001",2015-04-12,"KCA","ANA",1,1,0,0,0,1,0,0,17,22,20,2,2,4,8,1,0,1,0,2,0,7,0,0,0,0,0,0,0,0,0,5,4,87,49,1,9,2,0,0,0,0,0,0,0,5.66666666666667,14.8333333333333
"24","ANA201504120","wilsc004",2015-04-12,"ANA","KCA",1,1,0,0,0,0,1,0,17,29,26,7,6,9,13,2,1,0,0,1,1,4,1,1,0,1,0,1,0,0,0,5,8,94,57,0,2,9,0,0,0,2,0,0,0,5.66666666666667,4.83333333333334
"25","ANA201504120","younc003",2015-04-12,"KCA","ANA",3,0,0,0,1,0,0,0,6,7,7,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,25,19,1,9,2,2,1,0,0,0,0,0,2,8
"26","ANA201504200","alvaj003",2015-04-20,"ANA","OAK",2,0,0,0,0,0,0,0,9,10,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,5,36,25,0,3,6,5,0,1,1,0,0,0,3,10.5
"27","ANA201504200","clipt001",2015-04-20,"OAK","ANA",4,0,0,0,1,0,0,1,3,5,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,21,12,1,6,3,3,1,0,0,0,0,0,1,7.5
"28","ANA201504200","gravk001",2015-04-20,"OAK","ANA",1,1,0,0,0,0,0,0,9,16,13,3,2,4,4,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,0,4,2,73,42,1,6,3,0,0,0,0,1,0,0,3,-0.5
"29","ANA201504200","morim002",2015-04-20,"ANA","OAK",3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,15,8,0,3,6,5,0,1,1,0,0,0,1,4.5
"30","ANA201504200","oterd001",2015-04-20,"OAK","ANA",2,0,0,0,0,1,0,0,12,13,13,0,0,1,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,3,5,42,28,1,6,3,3,0,0,0,0,0,0,4,18
"31","ANA201504200","salaf001",2015-04-20,"ANA","OAK",4,0,0,0,1,0,0,0,6,7,6,1,1,1,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,3,20,17,0,3,6,5,0,1,0,0,0,0,2,7
"32","ANA201504200","scrie001",2015-04-20,"OAK","ANA",3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,6,1,6,3,3,1,0,0,0,0,1,1,8.5
"33","ANA201504200","shoem001",2015-04-20,"ANA","OAK",1,1,0,0,0,0,1,0,9,18,14,5,5,7,15,2,0,2,0,3,0,2,0,0,0,1,0,0,0,0,0,2,4,68,35,0,3,6,0,0,0,1,0,0,0,3,-6.5
"34","ANA201504210","abadf001",2015-04-21,"OAK","ANA",3,0,0,0,0,0,0,0,3,5,4,2,2,2,6,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,20,14,0,1,14,12,0,1,0,0,0,0,1,-0.5
"35","ANA201504210","alvar001",2015-04-21,"OAK","ANA",2,0,0,0,0,0,0,0,3,11,8,7,6,5,5,0,0,0,0,3,1,3,0,0,0,0,0,2,0,1,0,0,0,48,27,0,1,14,5,0,1,2,0,0,0,1,-8.5
"36","ANA201504210","bedrc001",2015-04-21,"ANA","OAK",3,0,0,0,1,0,0,0,6,9,8,0,0,2,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,3,28,21,1,14,1,1,1,0,0,0,0,0,2,8
"37","ANA201504210","davii001",2015-04-21,"OAK","ANA",4,0,0,0,1,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,6,0,1,14,14,0,1,0,0,0,0,1,3.5
