Team,team.key
Angels,ANA
Astros,HOU
Athletics,OAK
Blue Jays,TOR
Braves,ATL
Brewers,MIL
Cardinals,SLN
Cubs,CHN
Diamondbacks,ARI
Dodgers,LAN
Giants,SFN
Indians,CLE
Mariners,SEA
Marlins,MIA
Mets,NYN
Nationals,WAS
Orioles,BAL
Padres,SDN
Phillies,PHI
Pirates,PIT
Rangers,TEX
Rays,TBA
Red Sox,BOS
Reds,CIN
Rockies,COL
Royals,KCA
Tigers,DET
Twins,MIN
White Sox,CHA
Yankees,NYA
