"","game.key","person.key","game.date","team.key","opponent.key","seq","P_GS","P_CG","P_SHO","P_GF","P_W","P_L","P_SV","P_OUT","P_TBF","P_AB","P_R","P_ER","P_H","P_TB","P_2B","P_3B","P_HR","P_HR4","P_BB","P_IBB","P_SO","P_GDP","P_HP","P_SH","P_SF","P_XI","P_WP","P_BK","P_IR","P_IRS","P_GO","P_AO","P_PITCH","P_STRIKE","teamwon","teamscore","oppscore","prevruns","prevwin","prevloss","subruns","subwin","subloss","holdsest","IP","points"
"1","ANA201804020","alvaj003",2018-04-02,"ANA","CLE",2,0,0,0,0,0,0,0,5,6,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,1,24,13,0,0,6,5,0,1,1,0,0,0,1.66666666666667,5.83333333333333
"2","ANA201804020","bardl001",2018-04-02,"ANA","CLE",3,0,0,0,0,0,0,0,4,7,5,1,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2,34,17,0,0,6,5,0,1,0,0,0,0,1.33333333333333,1.66666666666667
"3","ANA201804020","belim001",2018-04-02,"CLE","ANA",5,0,0,0,1,0,0,0,3,5,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,15,10,1,6,0,0,1,0,0,0,0,0,1,3.5
"4","ANA201804020","clevm001",2018-04-02,"CLE","ANA",1,1,0,0,0,1,0,0,16,22,20,0,0,4,5,1,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,4,7,97,65,1,6,0,0,0,0,0,0,0,0,5.33333333333333,15.6666666666667
"5","ANA201804020","goodn001",2018-04-02,"CLE","ANA",3,0,0,0,0,0,0,0,4,6,5,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,24,13,1,6,0,0,1,0,0,0,0,1,1.33333333333333,9.66666666666667
"6","ANA201804020","mcalz001",2018-04-02,"CLE","ANA",4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,1,6,0,0,1,0,0,0,0,1,0.333333333333333,6.16666666666667
"7","ANA201804020","olsot002",2018-04-02,"CLE","ANA",2,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,16,13,1,6,0,0,1,0,0,0,0,1,1,10.5
"8","ANA201804020","ramij002",2018-04-02,"ANA","CLE",1,1,0,0,0,0,1,0,14,21,19,5,4,5,14,0,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,3,8,73,46,0,0,6,0,0,0,1,0,0,0,4.66666666666667,3.33333333333334
"9","ANA201804020","ramin002",2018-04-02,"ANA","CLE",4,0,0,0,1,0,0,0,4,6,5,0,0,1,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,2,1,1,0,32,20,0,0,6,6,0,1,0,0,0,0,1.33333333333333,6.66666666666667
"10","ANA201804030","belim001",2018-04-03,"CLE","ANA",3,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,23,14,0,2,13,11,0,1,2,0,0,0,2,8
