"","game.key","person.key","game.date","team.key","opponent.key","seq","P_GS","P_CG","P_SHO","P_GF","P_W","P_L","P_SV","P_OUT","P_TBF","P_AB","P_R","P_ER","P_H","P_TB","P_2B","P_3B","P_HR","P_HR4","P_BB","P_IBB","P_SO","P_GDP","P_HP","P_SH","P_SF","P_XI","P_WP","P_BK","P_IR","P_IRS","P_GO","P_AO","P_PITCH","P_STRIKE","teamwon","teamscore","oppscore","prevruns","prevwin","prevloss","subruns","subwin","subloss","holdsest","IP","points"
"1","ANA201104080","camps002",2011-04-08,"TOR","ANA",4,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,2,1,3,2,2,1,0,0,0,0,1,1,8.5
"2","ANA201104080","doteo001",2011-04-08,"TOR","ANA",2,0,0,0,0,1,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,10,10,1,3,2,2,0,0,0,0,0,0,1,5.5
"3","ANA201104080","drabk001",2011-04-08,"TOR","ANA",1,1,0,0,0,0,0,0,18,26,22,2,1,6,8,2,0,0,0,4,0,5,1,0,0,0,0,0,0,0,0,4,7,103,64,1,3,2,0,0,0,0,1,0,0,6,14
"4","ANA201104080","purcd001",2011-04-08,"TOR","ANA",3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,3,2,2,1,0,0,0,0,0,0,-1
"5","ANA201104080","raucj001",2011-04-08,"TOR","ANA",5,0,0,0,1,0,0,1,3,4,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,18,13,1,3,2,2,1,0,0,0,0,0,1,9.5
"6","ANA201104080","rodnf001",2011-04-08,"ANA","TOR",2,0,0,0,1,0,0,0,3,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,14,8,0,2,3,3,0,1,0,0,0,0,1,3.5
"7","ANA201104080","sante001",2011-04-08,"ANA","TOR",1,1,0,0,0,0,1,0,24,30,29,3,3,6,10,1,0,1,0,1,0,7,1,0,0,0,0,0,1,0,0,4,12,99,70,0,2,3,0,0,0,0,0,0,0,8,22
"8","ANA201104090","bulgj001",2011-04-09,"ANA","TOR",8,0,0,0,0,0,0,0,7,12,8,0,0,1,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,0,1,2,55,31,1,6,5,5,0,0,0,1,0,0,2.33333333333333,6.16666666666667
"9","ANA201104090","camps002",2011-04-09,"TOR","ANA",6,0,0,0,0,0,0,0,6,7,6,0,0,3,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,19,13,0,5,6,5,0,0,1,0,1,0,2,6
"10","ANA201104090","cecib001",2011-04-09,"TOR","ANA",1,1,0,0,0,0,0,0,15,23,20,5,5,10,14,1,0,1,0,1,0,3,2,0,1,1,0,0,0,0,0,6,2,81,54,0,5,6,0,0,0,1,0,1,0,5,3.5
