"","game.key","person.key","game.date","team.key","opponent.key","seq","P_GS","P_CG","P_SHO","P_GF","P_W","P_L","P_SV","P_OUT","P_TBF","P_AB","P_R","P_ER","P_H","P_TB","P_2B","P_3B","P_HR","P_HR4","P_BB","P_IBB","P_SO","P_GDP","P_HP","P_SH","P_SF","P_XI","P_WP","P_BK","P_IR","P_IRS","P_GO","P_AO","P_PITCH","P_STRIKE","teamwon","teamscore","oppscore","prevruns","prevwin","prevloss","subruns","subwin","subloss","holdsest","IP","points"
"1","ANA201403310","farqd001",2014-03-31,"SEA","ANA",5,0,0,0,1,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,17,11,1,10,3,3,1,0,0,0,0,0,1,4.5
"2","ANA201403310","furbc001",2014-03-31,"SEA","ANA",3,0,0,0,0,0,0,0,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,4,1,10,3,3,1,0,0,0,0,1,0.333333333333333,6.16666666666667
"3","ANA201403310","hernf002",2014-03-31,"SEA","ANA",1,1,0,0,0,1,0,0,18,25,23,3,2,4,8,1,0,1,0,1,0,11,0,1,0,0,0,2,0,0,0,3,4,103,66,1,10,3,0,0,0,0,0,0,0,6,21
"4","ANA201403310","jepsk001",2014-03-31,"ANA","SEA",4,0,0,0,0,0,0,0,2,7,5,5,5,3,7,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,30,17,0,3,10,4,0,1,1,0,0,0,0.666666666666667,-7.66666666666667
"5","ANA201403310","kohnm001",2014-03-31,"ANA","SEA",3,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,16,10,0,3,10,4,0,1,6,0,0,0,1,4.5
"6","ANA201403310","maron001",2014-03-31,"ANA","SEA",5,0,0,0,1,0,0,0,1,3,2,1,1,1,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,13,8,0,3,10,9,0,1,0,0,0,0,0.333333333333333,-0.833333333333333
"7","ANA201403310","mediy001",2014-03-31,"SEA","ANA",2,0,0,0,0,0,0,0,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,10,3,3,1,0,0,0,0,1,0.333333333333333,6.16666666666667
"8","ANA201403310","salaf001",2014-03-31,"ANA","SEA",2,0,0,0,0,0,0,0,2,4,3,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,13,7,0,3,10,4,0,1,6,0,0,0,0.666666666666667,1.33333333333333
"9","ANA201403310","weavj003",2014-03-31,"ANA","SEA",1,1,0,0,0,0,1,0,19,27,23,4,3,6,10,2,1,0,0,3,0,6,0,0,0,1,0,0,0,0,0,4,7,95,56,0,3,10,0,0,0,6,0,0,0,6.33333333333333,13.1666666666667
"10","ANA201403310","wilht001",2014-03-31,"SEA","ANA",4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,17,9,1,10,3,3,1,0,0,0,0,1,1.33333333333333,10.6666666666667
