"","game.key","person.key","game.date","team.key","opponent.key","seq","P_GS","P_CG","P_SHO","P_GF","P_W","P_L","P_SV","P_OUT","P_TBF","P_AB","P_R","P_ER","P_H","P_TB","P_2B","P_3B","P_HR","P_HR4","P_BB","P_IBB","P_SO","P_GDP","P_HP","P_SH","P_SF","P_XI","P_WP","P_BK","P_IR","P_IRS","P_GO","P_AO","P_PITCH","P_STRIKE","teamwon","teamscore","oppscore","prevruns","prevwin","prevloss","subruns","subwin","subloss","holdsest","IP","points"
"1","ANA201604040","arrij001",2016-04-04,"CHN","ANA",1,1,0,0,0,1,0,0,21,23,22,0,0,2,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,8,6,89,64,1,9,0,0,0,0,0,0,0,0,7,23.5
"2","ANA201604040","bedrc001",2016-04-04,"ANA","CHN",3,0,0,0,0,0,0,0,3,6,5,1,1,2,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,21,12,0,0,9,5,0,1,3,0,0,0,1,1.5
"3","ANA201604040","grimj002",2016-04-04,"CHN","ANA",2,0,0,0,0,0,0,0,3,4,4,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,7,1,9,0,0,1,0,0,0,0,1,1,8.5
"4","ANA201604040","morim002",2016-04-04,"ANA","CHN",4,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,10,8,0,0,9,6,0,1,3,0,0,0,1,4.5
"5","ANA201604040","rasmc002",2016-04-04,"ANA","CHN",5,0,0,0,1,0,0,0,3,8,6,3,3,2,3,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,36,23,0,0,9,6,0,1,0,0,0,0,1,-3.5
"6","ANA201604040","richg002",2016-04-04,"ANA","CHN",1,1,0,0,0,0,1,0,15,22,19,3,3,6,7,1,0,0,0,3,0,7,1,0,0,0,0,0,0,0,0,5,1,97,58,0,0,9,0,0,0,6,0,0,0,5,9.5
"7","ANA201604040","salaf001",2016-04-04,"ANA","CHN",2,0,0,0,0,0,0,0,3,5,4,2,2,1,4,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,24,15,0,0,9,3,0,1,4,0,0,0,1,0.5
"8","ANA201604040","woodt004",2016-04-04,"CHN","ANA",3,0,0,0,1,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,12,9,1,9,0,0,1,0,0,0,0,0,1,4.5
"9","ANA201604050","alvaj003",2016-04-05,"ANA","CHN",3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,14,11,0,1,6,6,0,1,0,0,0,0,1,5.5
"10","ANA201604050","cahit001",2016-04-05,"CHN","ANA",2,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,7,1,6,1,1,1,0,0,0,0,1,0.666666666666667,8.33333333333333
