"","game.key","person.key","game.date","team.key","opponent.key","seq","P_GS","P_CG","P_SHO","P_GF","P_W","P_L","P_SV","P_OUT","P_TBF","P_AB","P_R","P_ER","P_H","P_TB","P_2B","P_3B","P_HR","P_HR4","P_BB","P_IBB","P_SO","P_GDP","P_HP","P_SH","P_SF","P_XI","P_WP","P_BK","P_IR","P_IRS","P_GO","P_AO","P_PITCH","P_STRIKE","teamwon","teamscore","oppscore","prevruns","prevwin","prevloss","subruns","subwin","subloss","holdsest","IP","points"
"1","ANA201204060","chenb001",2012-04-06,"KCA","ANA",1,1,0,0,0,0,0,0,18,19,19,0,0,3,4,1,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,4,7,75,54,0,0,5,0,0,0,5,0,1,0,6,19
"2","ANA201204060","crowa001",2012-04-06,"KCA","ANA",2,0,0,0,0,0,1,0,4,7,7,3,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,26,20,0,0,5,0,0,0,2,0,0,0,1.33333333333333,1.66666666666667
"3","ANA201204060","downs001",2012-04-06,"ANA","KCA",2,0,0,0,1,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,12,8,1,5,0,0,1,0,0,0,0,0,1,4.5
"4","ANA201204060","hollg001",2012-04-06,"KCA","ANA",3,0,0,0,1,0,0,0,2,6,5,2,2,3,5,0,1,0,0,1,1,1,0,0,0,0,0,0,0,3,2,0,1,23,13,0,0,5,3,0,1,0,0,0,0,0.666666666666667,-1.66666666666667
"5","ANA201204060","weavj003",2012-04-06,"ANA","KCA",1,1,0,0,0,1,0,0,24,28,28,0,0,4,5,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,9,100,65,1,5,0,0,0,0,0,0,0,0,8,32
"6","ANA201204070","broxj001",2012-04-07,"KCA","ANA",4,0,0,0,1,0,0,0,3,4,3,1,1,2,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,10,7,1,6,3,2,1,0,0,0,0,0,1,1.5
"7","ANA201204070","collt001",2012-04-07,"KCA","ANA",2,0,0,0,0,0,0,0,2,3,3,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,7,7,1,6,3,2,1,0,1,0,0,1,0.666666666666667,8.33333333333333
"8","ANA201204070","hared001",2012-04-07,"ANA","KCA",1,1,0,0,0,0,1,0,16,27,24,5,5,11,19,2,0,2,0,1,0,5,0,0,1,1,0,0,0,0,0,3,6,93,60,0,3,6,0,0,0,1,0,0,0,5.33333333333333,6.66666666666666
"9","ANA201204070","hawkl001",2012-04-07,"ANA","KCA",4,0,0,0,0,0,0,0,3,4,3,1,0,1,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,17,12,0,3,6,5,0,1,0,0,0,0,1,3.5
"10","ANA201204070","hochl001",2012-04-07,"KCA","ANA",1,1,0,0,0,1,0,0,19,23,21,2,2,5,6,1,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,4,8,95,58,1,6,3,0,0,0,1,0,0,0,6.33333333333333,14.1666666666667
